0000000000000000, 0000000000000000, 0011000000000000, 0008000000000000, 0000000000000000, 000B000000000000, 0009000000000000, 0001000000000000, 0006000000000000
0000000000000000, 0000000000000000, 0019000000000000, 002B000000000000, 0000000000000000, 0011000000000000, 0013000000000000, 0003000000000000, 0022000000000000
0000000000000000, 0000000000000000, 0022000000000000, 0045000000000000, 0000000000000000, 0017000000000000, 002C000000000000, 0000000000000000, 0036000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0027000000000000, 001D000000000000, 0000000000000000, 001A000000000000, 001D000000000000, 0000000000000000, 0016000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 009B000000000000, 0001000000000000, 0112000000000000
0000000000000000, 0000000000000000, 0027000000000000, 0029000000000000, 0000000000000000, 001A000000000000, 001F000000000000, 0001000000000000, 0024000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 00F9000000000000, 0004000000000000, 0156000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0076000000000000, 0001000000000000, 009B000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0003000000000000, 0001000000000000, 0000000000000000
0000000000000000, 0000000000000000, 001D000000000000, 0026000000000000, 0000000000000000, 0014000000000000, 001A000000000000, 0001000000000000, 001E000000000000
0000000000000000, 0000000000000000, 0020000000000000, 0026000000000000, 0000000000000000, 0016000000000000, 001B000000000000, 0001000000000000, 001F000000000000
0000000000000000, 0000000000000000, 001F000000000000, 001C000000000000, 0000000000000000, 0015000000000000, 0014000000000000, 0002000000000000, 0016000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0003000000000000, 0001000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0025000000000000, 0018000000000000, 0000000000000000, 0019000000000000, 001A000000000000, 0001000000000000, 0019000000000000
0000000000000000, 0000000000000000, 0024000000000000, 003A000000000000, 0000000000000000, 0018000000000000, 0028000000000000, 0000000000000000, 002D000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0047000000000000, 0002000000000000, 0062000000000000
0000000000000000, 0000000000000000, 0021000000000000, 0025000000000000, 0000000000000000, 0016000000000000, 001E000000000000, 0000000000000000, 001D000000000000
0000000000000000, 0000000000000000, 001F000000000000, 0022000000000000, 0000000000000000, 0015000000000000, 0019000000000000, 0001000000000000, 001B000000000000
0000000000000000, 0000000000000000, 0021000000000000, 0016000000000000, 0000000000000000, 0017000000000000, 0020000000000000, 0001000000000000, 0020000000000000
0000000000000000, 0000000000000000, 001D000000000000, 001C000000000000, 0000000000000000, 0014000000000000, 0015000000000000, 0001000000000000, 0015000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0062000000000000, 0002000000000000, 00AE000000000000
0000000000000000, 0000000000000000, 0021000000000000, 0016000000000000, 0000000000000000, 0016000000000000, 0014000000000000, 0001000000000000, 0011000000000000
0000000000000000, 0000000000000000, 001F000000000000, 0025000000000000, 0000000000000000, 0015000000000000, 001D000000000000, 0000000000000000, 001D000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 004A000000000000, 0001000000000000, 000F000000000000
0000000000000000, 0000000000000000, 0017000000000000, 0011000000000000, 0000000000000000, 0010000000000000, 000F000000000000, 0001000000000000, 000D000000000000
0000000000000000, 0000000000000000, 0014000000000000, 001C000000000000, 0000000000000000, 000E000000000000, 0013000000000000, 0001000000000000, 0016000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 006A000000000000, 0003000000000000, 0064000000000000
0000000000000000, 0000000000000000, 0023000000000000, 0017000000000000, 0000000000000000, 0018000000000000, 0015000000000000, 0001000000000000, 0012000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0400000000000000, 0000000000000000, 0016000000000000, 0007000000000000, 001B000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0003000000000000, 0001000000000000, 0000000000000000
