0009000000000000, 0009000000000000, 0004000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0015000000000000, 0014000000000000, 0002000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0002000000000000, 0000000000000000, 001A000000000000, 0016000000000000, 0000000000000000
000A000000000000, 000A000000000000, 0005000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001A000000000000, 001D000000000000, 0002000000000000
0015000000000000, 0015000000000000, 000B000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0026000000000000, 0025000000000000, 0009000000000000
0012000000000000, 0012000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0020000000000000, 001E000000000000, 0008000000000000
0010000000000000, 0010000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001A000000000000, 0019000000000000, 0008000000000000
0008000000000000, 0008000000000000, 0004000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0013000000000000, 0011000000000000, 0002000000000000
001F000000000000, 001F000000000000, 0010000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0034000000000000, 0032000000000000, 0010000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0386000000000000, 0400000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0017000000000000, 0017000000000000, 000B000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0025000000000000, 0024000000000000, 000B000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 00FA000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0008000000000000, 0008000000000000, 0004000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0014000000000000, 0013000000000000, 0002000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 034C000000000000, 0400000000000000, 0182000000000000, 013B000000000000, 0158000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0362000000000000, 0400000000000000, 0182000000000000, 013B000000000000, 0169000000000000
0008000000000000, 0008000000000000, 0031000000000000, 0011000000000000, 0007000000000000, 0000000000000000, 0020000000000000, 0019000000000000, 0026000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 0157000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0026000000000000, 0026000000000000, 0037000000000000, 002D000000000000, 0001000000000000, 0000000000000000, 0060000000000000, 0054000000000000, 0048000000000000
001E000000000000, 001E000000000000, 000F000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 002E000000000000, 002C000000000000, 0011000000000000
0024000000000000, 0024000000000000, 0012000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0044000000000000, 0041000000000000, 000F000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 03D1000000000000, 0000000000000000, 02AB000000000000, 024D000000000000, 02D5000000000000
0011000000000000, 0011000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001F000000000000, 0024000000000000, 0007000000000000
000E000000000000, 000E000000000000, 0007000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001C000000000000, 001B000000000000, 0006000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 03BF000000000000, 0400000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 00E9000000000000, 0400000000000000, 00B8000000000000, 00A1000000000000, 0089000000000000
0015000000000000, 0015000000000000, 000B000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 002A000000000000, 0030000000000000, 0008000000000000
001A000000000000, 001A000000000000, 000D000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0028000000000000, 002E000000000000, 000D000000000000
000C000000000000, 000C000000000000, 0006000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001E000000000000, 001D000000000000, 0002000000000000
000E000000000000, 000E000000000000, 0007000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001F000000000000, 001D000000000000, 0005000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0007000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0011000000000000, 0011000000000000, 0009000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 001F000000000000, 001C000000000000, 0006000000000000
0011000000000000, 0011000000000000, 0008000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0020000000000000, 001F000000000000, 0007000000000000
0017000000000000, 0017000000000000, 000B000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 0025000000000000, 0024000000000000, 000B000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 035E000000000000, 0400000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0002000000000000, 0002000000000000, 0002000000000000, 0001000000000000, 0343000000000000, 0000000000000000, 02AB000000000000, 024D000000000000, 01C9000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 0351000000000000, 0400000000000000, 01C0000000000000, 016D000000000000, 014D000000000000
001A000000000000, 001A000000000000, 000D000000000000, 0000000000000000, 0001000000000000, 0000000000000000, 002C000000000000, 002A000000000000, 000D000000000000
0001000000000000, 0001000000000000, 0002000000000000, 0001000000000000, 03CD000000000000, 0400000000000000, 016B000000000000, 0128000000000000, 0128000000000000
0001000000000000, 0001000000000000, 0001000000000000, 0000000000000000, 03EA000000000000, 0400000000000000, 0003000000000000, 0003000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0399000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000
0030000000000000, 0030000000000000, 0081000000000000, 0044000000000000, 0007000000000000, 0000000000000000, 005E000000000000, 004A000000000000, 0065000000000000
0063000000000000, 0063000000000000, 0080000000000000, 0050000000000000, 0007000000000000, 0000000000000000, 00CD000000000000, 00AA000000000000, 0072000000000000
0008000000000000, 0008000000000000, 0004000000000000, 0000000000000000, 0007000000000000, 0000000000000000, 0011000000000000, 000F000000000000, 0004000000000000
